Eastern Mediterranean,Afghanistan,46,32758020,59.9
Europe,Albania,15.9,2889104,77.5
Africa,Algeria,26.5,39113313,75.4
Africa,Angola,27.4,26920466,51.7
Americas,Antigua and Barbuda,13,98875,76.2
Americas,Argentina,13,42981515,76.2
Europe,Armenia,20.7,2906220,74.6
Western Pacific,Australia,5.7,23460694,82.7
Europe,Austria,16,8541575,81.4
Europe,Azerbaijan,23.8,9535079,72.5
Americas,Bahamas,12.7,382169,75.4
Eastern Mediterranean,Bahrain,60,1336397,76.8
South-East Asia,Bangladesh,83.5,159405279,71.4
Americas,Barbados,14,283385,75.4
Europe,Belarus,17.4,9474511,72
Europe,Belgium,15.5,11209057,80.9
Americas,Belize,21.7,351694,70
Africa,Benin,31,10286712,59.7
South-East Asia,Bhutan,48.3,776448,69.4
Americas,Bolivia ,27.1,10562159,70.4
Europe,Bosnia and Herzegovina,41.6,3566002,77.2
Africa,Botswana,15.6,2168573,65.1
Americas,Brazil,10.5,204213133,74.8
Western Pacific,Brunei Darussalam,5.5,411704,77.6
Europe,Bulgaria,26.8,7223938,74.3
Africa,Burkina Faso,36.6,17585977,59.3
Africa,Burundi,38,9891790,59.1
Africa,Cabo Verde,36.4,526437,73
Western Pacific,Cambodia,23,15270790,68.3
Africa,Cameroon,65.2,22239904,56.7
Americas,Canada,7,35544564,82
Africa,Central African Republic,38.6,4515392,50.8
Africa,Chad,39.5,13569438,52.6
Americas,Chile,19.8,17613798,80.3
Western Pacific,China,54.3,1364270000,75.8
Americas,Colombia,16.9,47791911,74.6
Africa,Comoros,16.1,759385,63.2
Africa,Congo,40,4871101,64.2
Americas,Costa Rica,17.9,4757575,79.5
Africa,Cote d'Ivoire,21.8,22531350,52.8
Europe,Croatia,19.2,4238389,77.8
Americas,Cuba,16.6,11439767,79
Europe,Cyprus,16.7,1152309,80.3
Europe,Czechia,20.1,10525347,78.6
South-East Asia,Democratic Republic Korea,26.6,50746659,70.3
Africa,Congo,37.5,73722860,59.3
Europe,Denmark,10.3,5643475,80.4
Eastern Mediterranean,Djibouti,39,912164,63
Americas,Dominican Republic,16.2,10405844,73.6
Americas,Ecuador,13.3,15903112,76
Eastern Mediterranean,Egypt,92.8,91812566,70.8
Americas,El Salvador,35.1,6281189,73.3
Africa,Equatorial Guinea,32.9,1129424,57.9
Africa,Eritrea,35.4,5100000,64.4
Europe,Estonia,8.4,1314545,77.3
Africa,Ethiopia,29.7,97366774,64.2
Western Pacific,Fiji,5.9,885806,69.7
Europe,Finland,6.9,5461512,80.9
Europe,France,12,66331957,82.2
Africa,Gabon,30.1,1875713,65.5
Africa,Gambia,39.3,1917852,60.8
Europe,Georgia,18.7,3727000,74.5
Europe,Germany,13.5,80982500,80.9
Africa,Ghana,23.7,26962563,62.1
Europe,Greece,12.2,10892413,80.8
Americas,Grenada,13.8,106360,73.5
Americas,Guatemala,32.1,15923559,71.7
Africa,Guinea,21,11805509,58.1
Africa,Guinea-Bissau,26.6,1725744,58.4
Americas,Guyana,15.3,763393,66
Americas,Haiti,21.7,10572466,63.1
Americas,Honduras,34.8,8809216,74.5
Europe,Hungary,21.4,9866468,75.6
Europe,Iceland,7.6,327386,82.5
South-East Asia,India,62.4,1293859294,68
South-East Asia,Indonesia,14.4,255131116,68.9
Eastern Mediterranean,Iran,41.6,78411092,75.4
Eastern Mediterranean,Iraq,49.7,35006080,67.9
Europe,Ireland,9.5,4617225,81.2
Europe,Israel,19.1,8215700,82.2
Europe,Italy,17.2,60789140,82.5
Americas,Jamaica,16.3,2862087,75.8
Western Pacific,Japan,12.5,127276000,83.5
Eastern Mediterranean,Jordan,35.9,8809306,74
Europe,Kazakhstan,15.4,17289224,69.9
Africa,Kenya,15.5,46024250,62.9
Western Pacific,Kiribati,5.1,110458,66.1
Eastern Mediterranean,Kuwait,74.5,3782450,74.6
Europe,Kyrgyzstan,15,5835500,70.8
Western Pacific,Laos,26.8,6576397,65.3
Europe,Latvia,18.7,1993782,74.4
Eastern Mediterranean,Lebanon,29.6,5603279,74.8
Africa,Lesotho,17.7,2145785,52.1
Africa,Liberia,8.1,4390737,58.1
Eastern Mediterranean,Libya,61.1,6204108,72.4
Europe,Lithuania,18.4,2932367,73.4
Europe,Luxembourg,16.2,556319,81.7
Africa,Madagascar,17.2,23589801,65.1
Africa,Malawi,22,17068838,57.6
Western Pacific,Malaysia,14.8,30228017,74.8
South-East Asia,Maldives,16,401000,78.2
Africa,Mali,39.2,16962846,57.8
Europe,Malta,14,427364,81.4
Africa,Mauritania,64.8,4063920,63
Africa,Mauritius,14.2,1260934,74.2
Americas,Mexico,19.5,124221600,76.6
Western Pacific,Micronesia,6,104015,69.4
Europe,Monaco,9.2,38132,84.4
Western Pacific,Mongolia,20.1,2923896,68.4
Europe,Montenegro,22,621810,75.9
Eastern Mediterranean,Morocco,20.3,34318082,74.1
Africa,Mozambique,16.9,27212382,56.7
South-East Asia,Myanmar,51,51924182,66.4
Africa,Namibia,18.1,2370992,65.9
South-East Asia,Nepal,64,28323241,69.6
Europe,Netherlands,14.6,16865008,81.7
Western Pacific,New Zealand,5.2,4509700,81.5
